,scene_name,img_a_idx,img_b_idx,is_valid,is_valid_masked,norm_diff_descriptor_ground_truth,norm_diff_descriptor,norm_diff_descriptor_masked,norm_diff_ground_truth_3d,norm_diff_pred_3d,norm_diff_pred_3d_masked,pixel_match_error_l2,pixel_match_error_l2_masked,pixel_match_error_l1,fraction_pixels_closer_than_ground_truth,fraction_pixels_closer_than_ground_truth_masked,average_l2_distance_for_false_positives,average_l2_distance_for_false_positives_masked
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,94.76286192385707,94.76286192385707,106.0,0.02941116898148148,0.17685758170340843,136.34978588868108,136.2911112920619
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,30.083217912982647,30.083217912982647,37.0,0.0015277777777777779,0.009322312288583275,295.9604156624046,297.6353945287238
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,40.80441152620633,40.80441152620633,51.0,0.014372106481481482,0.08129056315644616,289.56530786445364,291.0214362644071
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,72.44998274671983,72.44998274671983,93.0,0.036171875,0.21934069056138078,143.15200481056758,142.69747572397466
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,105.30432089900205,105.30432089900205,113.0,0.041032986111111114,0.24530998907957705,138.56808621381904,138.65261894179136
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,104.6900186264192,104.6900186264192,116.0,0.02763599537037037,0.16668294371986894,140.5364973674981,140.4585290851012
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,41.30375285612676,41.30375285612676,46.0,0.016024305555555556,0.08336810703790186,371.5401192466095,376.647305348338
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,97.74456506629922,97.74456506629922,118.0,0.014890046296296297,0.09087034883204745,150.17464583922657,150.0964346253638
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,42.5440947723653,42.5440947723653,56.0,0.01662326388888889,0.10029032343984445,100.914006831339,100.10434312133174
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,76.2954782408499,76.2954782408499,89.0,0.021096643518518518,0.1294558433141264,102.80763424426658,102.79992770580189
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,11.704699910719626,11.704699910719626,15.0,0.0033839699074074076,0.020517965427539,419.74324350737953,419.8290599549428
0,shirt_hanging,cam1-475-119,cam0-0-0,,,,,,,,,33.24154027718932,33.24154027718932,41.0,0.022802372685185184,0.136398746370957,187.714514448507,187.06471002762652
